codigo_negocio,entidad,nombre,subtipo,aum,inversionistas,n_clases,rent_anual_med,clase_principal,valor_unidad_operaciones,cat_nombre,aum_bn_cop
2852,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO FIDUCUENTA,FIC DE TIPO GENERAL,26135466993985.85,849468,1,8.854235,800,48176.723255,RF_CORTO,26135.5
10936,Alianza Fiduciaria S.A.,FONDO ABIERTO ALIANZA,FIC DE TIPO GENERAL,10291611362197.61,101938,13,9.344924,504,222132.930156,SIN_CLASIFICAR,10291.6
60678,Citivalores,FONDO BURSÁTIL ISHARES  MSCI COLCAP,FIC BURSATILES,10261266164217.52,22890,1,37.914516,800,25507.783642,RV_LOCAL,10261.3
10026,"Fiduciaria Davivienda S.A. Pudiendo Utilizar La Sigla ""Fidudavivienda S.A.""",FONDO DE INVERSION COLECTIVA SUPERIOR,FIC DE TIPO GENERAL,9012899037704.49,122012,7,8.588683,505,12421.152366,SIN_CLASIFICAR,9012.9
58756,Credicorp Capital,CREDICORP CAPITAL ALTA LIQUIDEZ,FIC DE TIPO GENERAL,7786952386733.641,9468,8,8.7557825,801,15521.339273,RF_CORTO,7787.0
11407,Fiduciaria La Previsora S.A.  Sigla Fiduprevisora S.A.,CARTERA COLECTIVA ABIERTA DE ALTA LIQUIDEZ,FIC DE MERCADO MONETARIO,7471844547213.42,678,5,9.433381,518,26222.972064,RF_CORTO,7471.8
59304,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO RENTA LIQUIDEZ,FIC DE TIPO GENERAL,6697298112440.97,39449,7,8.821685,803,23262.181526,RF_CORTO,6697.3
129120,Fiduaval,FONDO DE INVERSION COLECTIVA ABIERTO SUMAR,FIC DE TIPO GENERAL,6695021844757.86,158750,11,8.311677,506,41585.761459,RF_CORTO,6695.0
8734,Bbva Asset Management S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA EFECTIVO CON PARTICIPACIONES DIFERENCIALES,FIC DE TIPO GENERAL,6358450280463.34,26154,10,9.1446095,704,4240.676236,RF_CORTO,6358.5
128979,Fiduaval,FONDO DE INVERSION COLECTIVA ABIERTO FIDUGOB,FIC DE TIPO GENERAL,5941108925100.65,14268,9,8.532245,518,25178.843637,RF_LARGO,5941.1
10824,Alianza Fiduciaria S.A.,FONDO ABIERTO CON PACTO DE PERMANENCIA CXC,FIC DE TIPO GENERAL,5790144153022.59,26750,7,9.927824,504,27621.900747,RF_LARGO,5790.1
128956,Fiduaval,FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA OCCITESOROS,FIC DE TIPO GENERAL,4995930846953.66,382,10,8.29903,503,3741.187791,RF_CORTO,4995.9
58347,Corredores Davivienda S.A.Comisionista De Bolsa,FIC INTERÉS,FIC DE TIPO GENERAL,4444032432490.72,24492,8,8.593322,504,11755.831784,RF_CORTO,4444.0
128953,Fiduaval,FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA OCCIRENTA,FIC DE TIPO GENERAL,3922804051043.95,28061,14,8.349421,504,13063.012459,RF_CORTO,3922.8
95589,Larrain Vial Colombia S.A.  Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA CERRADO ASHMORE ACCIONES COLOMBIA + LATAM,FIC DE TIPO GENERAL,3267904824057.87,27,6,43.135802,806,30025.744037,RV_INTL,3267.9
129433,Fiduaval,FONDO BURSÁTIL GLOBAL X COLOMBIA SELECT DE S&P,FIC BURSATILES,3222831497494.57,3126,1,40.720411,800,29176.457519,RV_LOCAL,3222.8
11962,Bbva Asset Management S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA PAÍS CON PARTICIPACIONES DIFERENCIALES,FIC DE TIPO GENERAL,3044467831702.7803,2770,4,8.7387425,702,25033.515272,RF_CORTO,3044.5
