nombre,clase,first,last,months,alive,vol_m,ret_a,corr_colcap,corr_glob,corr_mm,beta_colcap,maxdd,aum_bn,codes,subtipo,entidad,aum_fund_bn,clase_vol
FONDO DE INVERSIÓN COLECTIVA ABIERTO RENTA BALANCEADO,800,2016-01-01,2026-09-01,129,True,6.940890469471444,7.73051477744342,0.7125660211687594,0.7766433381032439,0.23008774095052592,0.23951823084148352,-13.496641972051027,274.68318398677025,3078,FIC DE TIPO GENERAL,Fiduciaria Bancolombia S.A. ,274.68318398677025,MIXTO
FIC ABIERTO ACCICUENTA MODERADO,800,2023-09-01,2026-09-01,37,True,3.72460731849268,12.195225743760263,0.570301467921487,0.41124520343826315,0.2093121029409408,0.08291106230372772,-1.519081814668377,102.97768352183999,115127,FIC DE TIPO GENERAL,Acciones Y Valores S.A.  Com,102.97768352183999,MIXTO
FIC ABIERTO ACCICUENTA MAYOR RIESGO,800,2023-11-01,2026-09-01,35,True,5.81623015771727,17.693199192909702,0.6435682251497268,0.19180253971386352,0.09683839213871272,0.14619344605840234,-4.099347304480261,66.59795586092,115128,FIC DE TIPO GENERAL,Acciones Y Valores S.A.  Com,66.59795586092,MIXTO
FONDO DE INVERSIÓN COLECTIVA DIVERSIFICADO MODERADO,501,2017-08-01,2026-09-01,110,True,6.869684436101766,5.276894373905172,0.6669688392713701,0.7092582895929036,0.20634487105748553,0.2351095759051845,-13.50706267779519,47.71237169268,59078,FIC DE TIPO GENERAL,Corredores Davivienda S.A.Co,47.760097258410006,MIXTO
CREDICORP CAPITAL BALANCEADO COLOMBIA,800,2020-07-01,2026-09-01,75,True,5.0624622171828655,7.222395518379843,0.6188056640521351,0.5404860993199055,0.2984686549735662,0.14488612471318849,-9.489219884545296,31.5824455582,93223,FIC DE TIPO GENERAL,Credicorp Capital,32.786799758549996,MIXTO
FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENOVABLE BALANCEADO MODERADO ALIANZ,509,2021-12-01,2026-09-01,58,True,4.345479684041971,9.85770305873601,0.5339500360315398,0.050255142679828106,0.46663296857881564,0.10712804842310479,-4.054177974887874,5.565298685989999,101366,FIC DE TIPO GENERAL,Alianza Fiduciaria S.A.,17.49343317959,MIXTO
FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ES+,521,2016-03-01,2026-09-01,127,True,3.5418115177700695,6.920832258525045,0.6556223908706584,0.4532428326879601,0.4296514161972218,0.11292937716652576,-6.4932306647383475,7.608769174850001,54077+129593,FIC DE TIPO GENERAL,Fiduaval,8.29780683339,MIXTO
CREDICORP CAPITAL VISION,800,2016-01-01,2023-07-01,91,False,6.308567278410926,5.658263378561723,0.6488510151657851,0.7470769985664177,0.1756642051427292,0.20815199859930963,-11.750051269637563,4.77386320791,58973,FIC DE TIPO GENERAL,Credicorp Capital,0.0,MIXTO
FIC CERRADO MIDAS ALTERNATIVO,800,2016-01-01,2020-08-01,56,False,2.2262986887297074,7.1814133277971814,0.5568162000116631,0.48442712133358407,0.40158947774223763,0.06298523093777184,-2.869050912835147,0.38284976943,60174,FIC DE TIPO GENERAL,Valoralta  S.A. Comisionista,0.0,MIXTO
FONDO DE INVERSIÓN COLECTIVA ABIERTO FIDUCUENTA,800,2016-01-01,2026-09-01,129,True,1.2568684504124887,6.476494940607669,0.021588532413601903,-0.0010133202074930068,1.0,0.001314047970573252,-0.2849418276683058,25776.996765114807,2852,FIC DE TIPO GENERAL,Fiduciaria Bancolombia S.A. ,25776.996765114807,RF_CORTO/MM
FONDO ABIERTO ALIANZA,504,2016-01-01,2026-09-01,129,True,1.2593872995237185,5.923482598120011,0.08200015703997234,0.05894225368923596,0.9797089154776825,0.0050011774969016135,-0.5626192938452013,2098.42730051148,10936,FIC DE TIPO GENERAL,Alianza Fiduciaria S.A.,9781.66096539522,RF_CORTO/MM
FONDO DE INVERSION COLECTIVA SUPERIOR,502,2016-01-01,2026-09-01,129,True,1.1852773904956828,6.4419467993859225,0.09137491414769057,0.06777181710555932,0.975035319883233,0.005244997156630885,-0.4601739647975944,2557.3679259569703,10026,FIC DE TIPO GENERAL,Fiduciaria Davivienda S.A. P,8837.92465539845,RF_CORTO/MM
CARTERA COLECTIVA ABIERTA DE ALTA LIQUIDEZ,518,2018-03-01,2026-09-01,102,True,1.2322616874581658,6.613708184182365,0.010305590544075371,0.0022472139971961764,0.9789973477643138,0.000664275626673307,-0.21698260447985396,7304.394940888845,11407,FIC DE MERCADO MONETARIO,Fiduciaria La Previsora S.A.,7622.455125737386,RF_CORTO/MM
CREDICORP CAPITAL ALTA LIQUIDEZ,800,2016-01-01,2026-09-01,129,True,1.1244093285749748,6.145387707667216,0.11439421047867523,0.07154470238745496,0.9621940912063478,0.006229120902480431,-0.4763666670640432,1178.13100983914,58756,FIC DE TIPO GENERAL,Credicorp Capital,7276.808093371819,RF_CORTO/MM
FONDO DE INVERSION COLECTIVA ABIERTO RENTA LIQUIDEZ,803,2020-11-01,2026-09-01,71,True,1.329833749607532,7.676924695780851,-0.09838160992529832,-0.09652199479288781,0.9846993947160941,-0.006006003353645023,-0.2852913929077938,5308.18341031018,59304,FIC DE TIPO GENERAL,Valores Bancolombia S.A. Com,6590.792109757669,RF_CORTO/MM
FONDO DE INVERSION COLECTIVA ABIERTO SUMAR,506,2016-01-01,2026-09-01,129,True,1.312748708648649,5.516560004850168,0.01163028678341969,0.011677196922964088,0.9711369173372314,0.0007393844259644117,-1.1685956096689765,1575.25250280771,22969+129120,FIC DE TIPO GENERAL,Fiduaval,6416.51971559819,RF_CORTO/MM
FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA EFECTIVO CON PARTICIPACIONES DIFERENCIALES,501,2016-01-01,2026-09-01,129,True,1.0345250789399467,6.298898686493293,0.06229104913604463,0.04553088263211476,0.9738613486710089,0.003120792860839649,-0.09352286724174652,1271.88238971237,8734,FIC DE TIPO GENERAL,Bbva Asset Management S.A. S,6139.79788549146,RF_CORTO/MM
FONDO DE INVERSION COLECTIVA ABIERTO FIDUGOB,518,2016-01-01,2026-09-01,129,True,1.2736287872751257,6.525974678137891,0.031889527566516876,0.02747477102261925,0.9832052353063241,0.0019669314614512066,-0.48032763832143166,2900.72313090621,10659+128979,FIC DE TIPO GENERAL,Fiduaval,5850.06331872966,RF_CORTO/MM
FONDO ABIERTO CON PACTO DE PERMANENCIA CXC,504,2016-01-01,2026-09-01,129,True,0.8534911105445517,7.742029200072609,0.09314237228208463,0.029404755556492267,0.9048737052894918,0.0038498567677563004,0.0,1983.54961115379,10824,FIC DE TIPO GENERAL,Alianza Fiduciaria S.A.,5777.156206163,RF_CORTO/MM
FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA OCCITESOROS,800,2016-01-01,2021-10-01,70,False,0.689017022928591,3.979896998832011,0.3521769715866231,0.32236448718762206,0.9052992467317298,0.012392019727202058,-0.4192838517442232,1081.23975689355,9453,FIC DE TIPO GENERAL,Fiduciaria De Occidente S.A.,5017.56960436849,RF_CORTO/MM
FIC INTERÉS,501,2017-08-01,2026-09-01,110,True,1.2083272159749896,6.002517463716672,0.11957861939198577,0.08824495832543029,0.948879539913903,0.007414230411593461,-0.7089243147956781,146.52054800292,58347,FIC DE TIPO GENERAL,Corredores Davivienda S.A.Co,4126.51872378223,RF_CORTO/MM
FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA OCCIRENTA,401,2016-08-01,2026-09-01,122,True,1.2662636016041495,7.107347630271965,0.062443598943556604,0.03846355406929685,0.9811526239032238,0.0039036546352373474,-0.2403905471365264,524.07317839142,9438+128953,FIC DE TIPO GENERAL,Fiduaval,3734.91062746972,RF_CORTO/MM
FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA PAÍS CON PARTICIPACIONES DIFERENCIALES,702,2016-09-01,2026-09-01,121,True,1.2958820249547707,6.396405286538642,0.06405363245471472,0.05414050003477391,0.9803107876725267,0.004103697678921582,-0.30846551394431154,1976.9259467285,11962,FIC DE TIPO GENERAL,Bbva Asset Management S.A. S,3001.73445255763,RF_CORTO/MM
FONDO CASH CONSERVADOR ALIANZA 1525,511,2019-04-01,2026-09-01,87,True,1.319564768623428,7.504577247533795,0.050191291997560644,0.02223788376957867,0.9624298407826601,0.0036485620444299794,-0.3383918218797688,77.04642177039999,18462,FIC DE TIPO GENERAL,Alianza Fiduciaria S.A.,2796.7257690227,RF_CORTO/MM
RENTAFACIL FONDO DE INVERSION COLECTIVA ABIERTO,507,2018-05-01,2026-09-01,101,True,1.3926561755669282,5.994260443056221,0.13042615408266012,0.06305638601878,0.9658912825396457,0.009558803172287848,-0.616660588304796,102.52302459539,10779,FIC DE TIPO GENERAL,"""Caja Social""",2355.65610593039,RF_CORTO/MM
F.I.C. VALOR PLUS I,412,2017-03-01,2026-09-01,115,True,1.3982428398536464,6.927612781949222,0.0415138207382974,0.01600299296372542,0.9826181461355118,0.0029209336434795103,-0.3951742372356071,769.31228964448,53954,FIC DE TIPO GENERAL,Fiduaval,2326.9459019705096,RF_CORTO/MM
FONDO DE INVERSIÓN COLECTIVA ABIERTA SIN PACTO DE PERMANENCIA FIDUEXCEDENTES,800,2016-01-01,2026-09-01,129,True,1.2763342418416446,6.4791355568437625,0.03985132940443823,0.02132559198237414,0.9925174178642056,0.0024632330862440588,-0.3753259832068867,2214.2061146547203,3895,FIC DE TIPO GENERAL,Fiduciaria Bancolombia S.A. ,2214.2061146547203,RF_CORTO/MM
FONDO DE INVERSIÓN COLECTIVA FIDUCOLDEX,703,2019-09-01,2026-09-01,85,True,1.4070045733720662,6.808167331495785,0.08991288689295698,0.06864473813712335,0.9664653283986859,0.007010297440804242,-0.37053762696845904,804.6735857047701,11149,FIC DE TIPO GENERAL,Fiducoldex,2160.07394944382,RF_CORTO/MM
F.I.C. A. MERCADO MONETARIO CONFIANZA PLUS,800,2016-01-01,2024-05-01,101,False,1.4156625308400668,5.705824083525579,0.02611721424789202,0.022119192354471545,0.9828157542670976,0.001843479630499518,-0.4279278656618146,1230.14306646533,13174,FIC DE MERCADO MONETARIO,Fiduaval,1591.2476763743198,RF_CORTO/MM
FONDO DE INVERSION COLECTIVA ABIERTO FIC 600,712,2019-02-01,2026-09-01,92,True,1.368461628866472,6.686647006547464,0.0804696547469595,0.044259580967808486,0.9697072455357572,0.005924145307586987,-0.6030934621253481,489.26892193382,69537,FIC DE TIPO GENERAL,Fiduagraria S.A.,1558.29810350502,RF_CORTO/MM
FONDO DE INVERSION COLECTIVA ABIERTO ITAU MONEY MARKET,505,2018-07-01,2026-09-01,99,True,1.4159551938483317,7.06841301468808,0.053946940710284795,0.02233011354261483,0.989512467193033,0.00406079392845543,-0.3381747971864524,346.06961603189,10648+119133,FIC DE TIPO GENERAL,Itaú Comisionista De Bolsa,1541.46312330534,RF_CORTO/MM
