fecha_corte,n,dow
2016-01-01,474,4
2016-01-02,474,5
2016-01-03,474,6
2016-01-04,474,0
2016-01-05,474,1
2016-01-06,474,2
2016-01-07,474,3
2016-01-08,474,4
2016-01-09,474,5
2016-01-10,474,6
2016-01-11,474,0
2016-01-12,474,1
2016-01-13,474,2
2016-01-14,474,3
2016-01-15,474,4
2016-01-16,473,5
2016-01-17,473,6
2016-01-18,474,0
2016-01-19,474,1
2016-01-20,474,2
2016-01-21,474,3
2016-01-22,475,4
2016-01-23,475,5
2016-01-24,475,6
2016-01-25,475,0
2016-01-26,474,1
2016-01-27,474,2
2016-01-28,475,3
2016-01-29,475,4
2016-01-30,475,5
2016-01-31,475,6
2016-02-01,474,0
2016-02-02,474,1
2016-02-03,470,2
2016-02-04,470,3
2016-02-05,470,4
2016-02-06,470,5
2016-02-07,470,6
2016-02-08,469,0
2016-02-09,468,1
2016-02-10,468,2
2016-02-11,465,3
2016-02-12,465,4
2016-02-13,462,5
2016-02-14,462,6
2016-02-15,462,0
2016-02-16,462,1
2016-02-17,462,2
2016-02-18,462,3
2016-02-19,462,4
2016-02-20,462,5
2016-02-21,462,6
2016-02-22,464,0
2016-02-23,464,1
2016-02-24,464,2
2016-02-25,464,3
2016-02-26,467,4
2016-02-27,467,5
2016-02-28,467,6
2016-02-29,468,0
2016-03-01,467,1
2016-03-02,467,2
2016-03-03,467,3
2016-03-04,467,4
2016-03-05,467,5
2016-03-06,467,6
2016-03-07,468,0
2016-03-08,467,1
2016-03-09,467,2
2016-03-10,467,3
2016-03-11,467,4
2016-03-12,467,5
2016-03-13,467,6
2016-03-14,467,0
2016-03-15,470,1
2016-03-16,471,2
2016-03-17,474,3
2016-03-18,474,4
2016-03-19,473,5
2016-03-20,473,6
2016-03-21,473,0
2016-03-22,472,1
2016-03-23,472,2
2016-03-24,471,3
2016-03-25,471,4
2016-03-26,471,5
2016-03-27,471,6
2016-03-28,473,0
2016-03-29,473,1
2016-03-30,473,2
2016-03-31,473,3
2016-04-01,474,4
2016-04-02,470,5
2016-04-03,470,6
2016-04-04,472,0
2016-04-05,473,1
2016-04-06,474,2
2016-04-07,473,3
2016-04-08,473,4
2016-04-09,473,5
2016-04-10,474,6
2016-04-11,475,0
2016-04-12,475,1
2016-04-13,476,2
2016-04-14,476,3
2016-04-15,476,4
2016-04-16,476,5
2016-04-17,476,6
2016-04-18,476,0
2016-04-19,476,1
2016-04-20,476,2
2016-04-21,478,3
2016-04-22,478,4
2016-04-23,478,5
2016-04-24,478,6
2016-04-25,478,0
2016-04-26,478,1
2016-04-27,480,2
2016-04-28,480,3
2016-04-29,480,4
2016-04-30,480,5
2016-05-01,480,6
2016-05-02,480,0
2016-05-03,480,1
2016-05-04,481,2
2016-05-05,480,3
2016-05-06,479,4
2016-05-07,479,5
2016-05-08,479,6
2016-05-09,479,0
2016-05-10,479,1
2016-05-11,479,2
2016-05-12,479,3
2016-05-13,471,4
2016-05-14,471,5
2016-05-15,471,6
2016-05-16,472,0
2016-05-17,472,1
2016-05-18,472,2
2016-05-19,473,3
2016-05-20,473,4
2016-05-21,473,5
2016-05-22,473,6
2016-05-23,473,0
2016-05-24,473,1
2016-05-25,472,2
2016-05-26,474,3
2016-05-27,474,4
2016-05-28,474,5
2016-05-29,474,6
2016-05-30,474,0
2016-05-31,474,1
2016-06-01,473,2
2016-06-02,473,3
2016-06-03,472,4
