codigo_negocio,nombre_patrimonio,codigo_entidad,nombre_subtipo_patrimonio,fmin,fmax,n,anio
58908,CASA DE BOLSA QUIMBAYA FONDO  ABIERTO CON PACTO DE PERMANENCIA,76,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
58980,FONDO DE INVERSION COLECTIVA CERRADO DENOMINADO FACTORING,62,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
50406,FONDO DE CAPITAL PRIVADO TRIBECA TERMINAL DE CARGA EL DORADO,16,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
58930,FONVAL GLOBAL ESTRUCTURADO II,28,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
59355,FONDO DE INVERSION COLECTIVA CERRADO RENTA CRÉDITO,68,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
46197,NEXUS INMOBILIARIO - COMPARTIMENTO TORRE ALIANZA,21,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,364,2016
64826,FONDO DE CAPITAL PRIVADO INVERSIONES GANADERAS COMPARTIMENTO 38,21,FONDOS DE CAPITAL PRIVADO,2016-09-01T00:00:00.000,2016-12-31T00:00:00.000,122,2016
10936,FONDO ABIERTO ALIANZA,16,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,3654,2016
58452,"FONDO DE INVERSION COLECTIVA ""SERFINCO AIC GRUPO ARGOS""",62,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
60174,FIC CERRADO MIDAS ALTERNATIVO,10,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
59555,FCP VALOR FORESTAL CAUCHO NATURAL 11,21,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
44388,"FONDO DE CAPITAL PRIVADO 11:11 FUND I, FCP",23,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-12T00:00:00.000,347,2016
58958,FONDO DE CAPITAL PRIVADO INVERSOR COMPARTIMENTO B,26,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
58919,FONVAL GLOBAL VISTA,28,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-09-15T00:00:00.000,259,2016
54582,COMPARTIMENTO 6 DEL FONDO DE CO-INVERSIÓN CON EL FONDO DE INFRAESTRUCTURA ASHMORE I FCP,16,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
58521,FONDO DE INVERSIÓN COLECTIVA CON PACTO DE PERMANENCIA ULTRACCIÓN PREC,62,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-11-30T00:00:00.000,335,2016
60504,FONDO DE INVERSIÓN COLECTIVA ABIERTO INVERTIR GRUPO ARGOS,9,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-05-12T00:00:00.000,133,2016
58743,CASA DE BOLSA ACCIONES GLOBALES  FONDO  ABIERTO CON PACTO DE PERMANENCIA,76,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
51953,FONDO DE INVERSIÓN COLECTIVA SKANDIA EFECTIVO,7,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,1960,2016
60167,FIC ABIERTO MIDAS RENTA FIJA,10,FIC DE MERCADO MONETARIO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
10440,FONDO DE INVERSION ABIERTO CASH,34,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
62556,FONDO DE CAPITAL PRIVADO INVERSIONES GANADERAS COMPARTIMENTO 36,21,FONDOS DE CAPITAL PRIVADO,2016-04-06T00:00:00.000,2016-12-31T00:00:00.000,270,2016
9641,F.I.C. CON PACTO DE PERMANENCIA MULTIPLICAR,20,FIC DE TIPO GENERAL,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
60927,COMP I - FCP FONDO BBP REAL,9,FONDOS DE CAPITAL PRIVADO,2016-01-01T00:00:00.000,2016-12-31T00:00:00.000,366,2016
