head,cat,codes,clase,n_clases,nombre,first,last,years,n_obs,cal_days,missing_pct,n_gaps,max_gap_d,dups,vu_le0,vu_nan,zero_ret_bd_pct,jumps_gt15pct,vol_ann,ret_ann,maxdd,aum_bn,alive,handoff
53962,MIXTO,53962,800,4,FONDO DE INVERSION COLECTA ABIERTO CON PACTO DE PERMANE,2016-01-01,2026-09-08,10.7,3903,3904,0.03,1,2,0,0,0,0.0,0,0.7,8.0,-1.9,642.1,True,
3078,MIXTO,3078,800,1,FONDO DE INVERSIÓN COLECTIVA ABIERTO RENTA BALANCEADO,2016-01-01,2026-09-08,10.7,3901,3904,0.08,3,2,0,0,0,0.1,0,6.2,7.6,-20.3,276.8,True,
59078,MIXTO,59078,501,3,FONDO DE INVERSIÓN COLECTIVA DIVERSIFICADO MODERADO,2017-07-04,2026-09-08,9.2,3354,3354,0.0,0,1,0,0,0,0.0,0,5.5,5.2,-18.0,47.9,True,
93223,MIXTO,93223,800,2,CREDICORP CAPITAL BALANCEADO COLOMBIA,2020-06-27,2026-09-08,6.2,2265,2265,0.0,0,1,0,0,0,0.0,0,4.1,7.2,-10.0,33.2,True,
101366,MIXTO,101366,502,6,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMA,2021-11-08,2026-09-08,4.8,1766,1766,0.0,0,1,0,0,0,0.0,0,3.6,7.5,-5.8,16.9,True,
105784,MIXTO,105784,501,1,FIC MULTIESTRATEGIA EQUILIBRIO,2022-04-08,2026-09-08,4.4,1615,1615,0.0,0,1,0,0,0,0.7,0,4.6,11.3,-7.6,77.3,True,
113658,MIXTO,113658,501,1,FONDO DE INVERSION COLECTIVA DIVERSIFICADO CONSERVADOR,2023-07-07,2026-09-08,3.2,1160,1160,0.0,0,1,0,0,0,0.0,0,1.7,9.7,-2.0,62.2,True,
115127,MIXTO,115127,800,1,FIC ABIERTO ACCICUENTA MODERADO,2023-08-15,2026-09-08,3.1,1121,1121,0.0,0,1,0,0,0,0.0,0,3.0,12.9,-2.4,103.4,True,
2852,RF_CORTO,2852,800,1,FONDO DE INVERSIÓN COLECTIVA ABIERTO FIDUCUENTA,2016-01-01,2026-09-08,10.7,3901,3904,0.08,3,2,0,0,0,0.1,0,0.5,6.3,-0.8,26135.5,True,
58756,RF_CORTO,58756,800,9,CREDICORP CAPITAL ALTA LIQUIDEZ,2016-01-01,2026-09-08,10.7,3904,3904,0.0,0,1,0,0,0,0.0,0,0.5,6.0,-1.5,7787.0,True,
8734,RF_CORTO,8734,501,10,FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA EFECTIVO CON ,2016-01-01,2026-09-08,10.7,3903,3904,0.03,1,2,0,0,0,0.0,0,0.4,6.1,-1.0,6358.5,True,
