cat,rol,codigos,clase,fondo,admin,inicio,aum_bn,vol,ret,mdd,c_colcap,c_glob,c_mm
RF_CORTO,core,2852,800,FIC ABIERTO FIDUCUENTA,Fiduciaria Bancolombia S,2016-01-01,25777,1.3,6.5,-0.3,0.02,-0.0,1.0
RF_CORTO,core,11407,518,CARTERA COLECTIVA ABIERTA DE ALTA LIQUIDEZ,Fiduciaria La Previsora,2018-03-01,7622,1.2,6.6,-0.2,0.01,0.0,0.98
RF_CORTO,core,58756,800,CREDICORP CAPITAL ALTA LIQUIDEZ,Credicorp Capital,2016-01-01,7277,1.1,6.1,-0.5,0.11,0.07,0.96
RF_CORTO,core,8734,501,FIC ABIERTO BBVA EFECTIVO CON PARTICIPACIONES DIFERENCIALE,Bbva Asset Management S.,2016-01-01,6140,1.0,6.3,-0.1,0.06,0.05,0.97
RF_CORTO,alt,10936,504,FONDO ABIERTO ALIANZA,Alianza Fiduciaria S.A.,2016-01-01,9782,1.3,5.9,-0.6,0.08,0.06,0.98
RF_CORTO,alt,22969+129120,506,FIC ABIERTO SUMAR,Fiduaval,2016-01-01,6417,1.3,5.5,-1.2,0.01,0.01,0.97
RF_LARGO,core,3049,800,FIC ABIERTO CPP PLAN SEMILLA,Fiduciaria Bancolombia S,2016-01-01,707,2.7,7.4,-4.3,0.2,0.16,0.77
RF_LARGO,core,58883,800,CREDICORP CAPITAL DEUDA CORPORATIVA,Credicorp Capital,2016-01-01,522,2.4,7.0,-2.1,0.18,0.18,0.77
RF_LARGO,core,59076,501,FIC RENTA FIJA MEDIANO PLAZO MULTIESCALA,Corredores Davivienda S.,2017-08-01,259,2.7,6.8,-3.5,0.2,0.17,0.76
RF_LARGO,core,61583,800,UNIVERSITAS FIC ABIERTO CPP,"""Caja Social""",2016-01-01,151,3.2,5.5,-5.4,0.22,0.15,0.68
RF_LARGO,late,78886,501,FIC RENTA FIJA LARGO PLAZO,Corredores Davivienda S.,2019-02-01,93,4.9,6.4,-12.6,0.29,0.28,0.61
RF_LARGO,alt,51959,503,FIC SKANDIA MULTIPLAZO,Skandia Fiduciaria S.A.,2016-01-01,84,2.6,6.9,-4.7,0.22,0.21,0.71
RF_LARGO,alt,9792,800,FIC DAVIPLUS RENTA FIJA PESOS,Fiduciaria Davivienda S.,2016-01-01,76,2.4,6.1,-2.8,0.28,0.23,0.74
RV_LOCAL,core,60678,800,FONDO BURSÁTIL ISHARES MSCI COLCAP,Citivalores,2016-01-01,9869,20.6,7.2,-35.5,1.0,0.39,0.02
RV_LOCAL,core,43502+129433,800,FONDO BURSÁTIL GLOBAL X COLOMBIA SELECT DE S&P,Fiduaval,2016-01-01,3077,21.0,9.5,-36.5,0.98,0.42,0.04
RV_LOCAL,core,59105,800,CREDICORP CAPITAL ACCIONES COLOMBIA,Credicorp Capital,2016-01-01,406,20.0,13.9,-32.9,0.97,0.4,0.05
RV_LOCAL,core,58735,800,FIC ABIERTO ACCIVAL ACCIONES DINAMICO,Acciones Y Valores S.A.,2016-01-01,159,18.9,10.4,-30.8,0.98,0.4,0.04
RV_LOCAL,alt,65875,800,FIC FONDO DE SEGURIDAD BOLIVAR,Fiduciaria Davivienda S.,2016-11-01,231,15.9,9.3,-26.4,0.99,0.39,0.07
RV_LOCAL,alt,67403,509,FIC ABIERTO CPP ALIANZA ACCIONES,Alianza Fiduciaria S.A.,2017-11-01,105,20.6,11.4,-30.1,0.98,0.4,0.04
RV_INTL,core,58918,800,CREDICORP CAPITAL ACCIONES GLOBALES,Credicorp Capital,2016-01-01,63,14.5,8.6,-23.0,0.39,1.0,-0.0
RV_INTL,core,59079,501,FIC ACCIONES GLOBALES,Corredores Davivienda S.,2016-01-01,19,18.1,1.2,-36.7,0.74,0.67,0.06
RV_INTL,core,78888,501,FIC DIVERSIFICADO INTERNACIONAL,Corredores Davivienda S.,2018-11-01,17,9.0,5.3,-15.9,0.08,0.69,-0.04
RV_INTL,late,59740,803,FIC ABIERTO RENTA SOSTENIBLE GLOBAL,Valores Bancolombia S.A.,2021-04-01,176,11.9,2.1,-17.4,-0.19,0.94,-0.07
RV_INTL,alt,3644,501,FIC ABIERTO RENTA ACCIONES LATAM,Fiduciaria Bancolombia S,2016-01-01,60,19.6,4.6,-34.1,0.87,0.47,-0.0
RV_INTL,alt,99106,800,CREDICORP CAPITAL ACCIONES LATAM,Credicorp Capital,2021-07-01,56,18.1,0.2,-23.1,0.34,0.4,0.01
MIXTO,core,3078,800,FIC ABIERTO RENTA BALANCEADO,Fiduciaria Bancolombia S,2016-01-01,275,6.9,7.7,-13.5,0.71,0.78,0.23
MIXTO,core,69368,800,FIC ABIERTO CPP BBVA AM ESTRATEGIA BALANCEADO GLOBAL,Bbva Asset Management S.,2017-05-01,57,11.2,9.8,-19.6,0.8,0.82,0.07
MIXTO,core,59078,501,FIC DIVERSIFICADO MODERADO,Corredores Davivienda S.,2017-08-01,48,6.9,5.3,-13.5,0.67,0.71,0.21
MIXTO,late,93223,800,CREDICORP CAPITAL BALANCEADO COLOMBIA,Credicorp Capital,2020-07-01,33,5.1,7.2,-9.5,0.62,0.54,0.3
